/etc/tejas/mem_watch_output.txt is not created so creating it. starting at Tue Feb 17 16:39:36 IST 2015
Memory Changes in every 5m interval
MemTotal: MemFree: Buffers: Cached: SwapCached: Active: Inactive: SwapTotal: SwapFree: Dirty: Writeback: AnonPages: Mapped: Slab: SReclaimable: SUnreclaim: PageTables: NFS_Unstable: Bounce: WritebackTmp: CommitLimit: Committed_AS: VmallocTotal: VmallocUsed: VmallocChunk: 
509144 4168 39756 402332 0 79632 408932 0 0 32 0 46492 47472 8284 4684 3600 1392 0 0 0 254572 655104 768988 17460 751488 
509144 6632 41608 382940 0 141332 329844 0 0 10520 0 46644 47472 23272 18516 4756 1412 0 0 0 254572 655440 768988 17460 751488 
509144 5188 43796 355256 0 235356 217508 0 0 5124 0 53828 47784 42784 36504 6280 1448 0 0 0 254572 664240 768988 17460 751488 
509144 15040 44872 342912 0 261820 174424 0 0 440 0 48476 47728 49772 43044 6728 1412 0 0 0 254572 657652 768988 17460 751488 
509144 18116 44872 339164 0 259296 173888 0 0 1732 0 49164 47728 49808 43044 6764 1412 0 0 0 254572 658164 768988 17460 751488 
509144 8512 44872 343716 0 269112 173648 0 0 432 0 54188 47808 49852 43056 6796 1448 0 0 0 254572 664376 768988 17460 751488 
509144 18156 44924 341000 0 261832 170752 0 0 176 0 46676 47500 50284 43532 6752 1412 0 0 0 254572 655444 768988 17460 751488 
509144 17776 44924 340048 0 262348 170612 0 0 1352 0 48004 47728 50548 43532 7016 1412 0 0 0 254572 657012 768988 17460 751488 
509144 10336 44976 345552 0 271840 168060 0 0 896 0 49388 47728 50812 44004 6808 1412 0 0 0 254572 658420 768988 17460 751488 
509144 17612 44976 338284 0 265744 166916 0 0 160 0 49416 47776 50840 44008 6832 1412 0 0 0 254572 658592 768988 17460 751488 
509144 20076 44976 338056 0 263232 166784 0 0 1300 0 47000 47728 50968 44008 6960 1412 0 0 0 254572 655972 768988 17460 751488 
509144 12172 44976 343552 0 271220 166784 0 0 460 0 49492 47776 50840 44008 6832 1412 0 0 0 254572 658848 768988 17460 751488 
509144 16124 44976 339760 0 267280 166788 0 0 540 0 49348 47732 50844 44008 6836 1412 0 0 0 254572 658300 768988 17460 751488 
509144 15652 44976 340336 0 265892 168760 0 0 3036 0 49356 47732 50804 44008 6796 1412 0 0 0 254572 658300 768988 17460 751488 
509144 12552 45004 343588 0 270764 166780 0 0 16 0 48968 47728 51092 44168 6924 1412 0 0 0 254572 657908 768988 17460 751488 
509144 15900 45004 339720 0 267380 166780 0 0 336 0 49452 47776 50984 44164 6820 1412 0 0 0 254572 658592 768988 17460 751488 
509144 13404 45004 342220 0 269820 166784 0 0 760 0 49396 47732 51004 44168 6836 1412 0 0 0 254572 658556 768988 17460 751488 
509144 14040 45004 341544 0 270264 165768 0 0 1956 0 49500 47776 50988 44168 6820 1412 0 0 0 254572 658848 768988 17460 751488 
509144 17868 45004 337948 0 266520 165768 0 0 888 188 49352 47732 51008 44168 6840 1412 0 0 0 254572 658300 768988 17460 751488 
509144 12892 45004 342708 0 271352 165764 0 0 1048 0 49420 47732 51028 44168 6860 1412 0 0 0 254572 658556 768988 17460 751488 
509144 15792 45004 339768 0 269640 164612 0 0 640 0 49496 47776 50976 44168 6808 1412 0 0 0 254572 658848 768988 17460 751488 
509144 18308 45004 337728 0 267192 164492 0 0 4 0 48968 47808 51076 44164 6912 1448 0 0 0 254572 659456 768988 17460 751488 
509144 12576 45004 342948 0 272992 164484 0 0 352 0 49540 47776 50984 44172 6812 1412 0 0 0 254572 658848 768988 17460 751488 
509144 20148 45032 338032 0 265292 164476 0 0 2004 0 46720 47500 50984 44188 6796 1412 0 0 0 254572 655444 768988 17460 751488 
509144 15344 45032 337020 0 270008 164476 0 0 580 0 52448 47808 51272 44192 7080 1448 0 0 0 254572 662944 768988 17460 751488 
509144 16072 45032 342228 0 269512 164480 0 0 108 0 46748 47668 51032 44240 6792 1412 0 0 0 254572 655448 768988 17460 751488 
509144 18844 45036 337852 0 266612 164488 0 0 732 0 48228 47728 51192 44240 6952 1412 0 0 0 254572 657268 768988 17460 751488 
509144 16132 45036 339452 0 269536 164340 0 0 152 0 49404 47732 51080 44240 6840 1412 0 0 0 254572 658300 768988 17460 751488 
509144 14800 45036 340700 0 270900 164344 0 0 540 0 49524 47776 51048 44240 6808 1412 0 0 0 254572 658848 768988 17460 751488 
509144 13620 45036 336668 0 272008 164348 0 0 24 0 54668 47808 51120 44240 6880 1448 0 0 0 254572 664760 768988 17460 751488 
509144 16428 45036 339108 0 269236 164300 0 0 224 0 49408 47732 51036 44240 6796 1412 0 0 0 254572 658300 768988 17460 751488 
509144 15668 45036 339852 0 270084 164304 0 0 844 0 49516 47776 51044 44240 6804 1412 0 0 0 254572 658848 768988 17460 751488 
509144 18272 45036 337364 0 267468 164300 0 0 0 0 49384 47732 51060 44240 6820 1412 0 0 0 254572 658300 768988 17460 751488 
509144 15440 45036 341460 0 270164 164304 0 0 904 308 47988 47728 51240 44240 7000 1412 0 0 0 254572 657012 768988 17460 751488 
509144 17412 45036 338100 0 268308 164304 0 0 584 0 49492 47776 51048 44240 6808 1412 0 0 0 254572 658592 768988 17460 751488 
509144 21844 45036 335048 0 263784 164304 0 0 312 0 48020 47728 51084 44240 6844 1412 0 0 0 254572 657012 768988 17460 751488 
509144 13932 45036 341468 0 271720 164308 0 0 988 0 49540 47776 51048 44236 6812 1412 0 0 0 254572 658848 768988 17460 751488 
509144 19016 45036 336400 0 266580 164312 0 0 720 0 49472 47776 51052 44236 6816 1412 0 0 0 254572 658592 768988 17460 751488 
509144 19448 45036 336152 0 266176 164316 0 0 480 0 49320 47728 51120 44236 6884 1412 0 0 0 254572 658164 768988 17460 751488 
509144 15752 45036 339800 0 269952 164292 0 0 120 0 49424 47732 51088 44236 6852 1412 0 0 0 254572 658556 768988 17460 751488 
509144 18976 45036 336580 0 266676 164296 0 0 0 0 49372 47728 51088 44236 6852 1412 0 0 0 254572 658164 768988 17460 751488 
509144 20744 45036 336584 0 265020 164252 0 0 0 216 47668 47728 51124 44236 6888 1412 0 0 0 254572 656756 768988 17460 751488 
509144 17280 45036 338160 0 268424 164256 0 0 1800 0 49500 47776 51056 44236 6820 1412 0 0 0 254572 658592 768988 17460 751488 
509144 19884 45036 335608 0 265836 164256 0 0 396 0 49464 47776 51056 44236 6820 1412 0 0 0 254572 658592 768988 17460 751488 
509144 19280 45036 337212 0 266480 164260 0 0 1060 0 48508 47728 51100 44236 6864 1412 0 0 0 254572 657652 768988 17460 751488 
509144 18272 45036 337288 0 266916 164876 0 0 1308 0 49484 47776 51044 44236 6808 1412 0 0 0 254572 658592 768988 17460 751488 
509144 23976 45036 334224 0 261716 164268 0 0 0 0 46740 47500 51044 44236 6808 1412 0 0 0 254572 655444 768988 17460 751488 
509144 19032 45036 339084 0 266572 164272 0 0 2720 0 46740 47500 51024 44236 6788 1412 0 0 0 254572 655444 768988 17460 751488 
509144 19752 45036 338364 0 265852 164272 0 0 428 0 46740 47500 51044 44236 6808 1412 0 0 0 254572 655444 768988 17460 751488 
509144 21844 45036 333844 0 263880 164276 0 0 320 0 49292 47728 51068 44236 6832 1412 0 0 0 254572 658164 768988 17460 751488 
509144 16296 45036 339172 0 269424 164280 0 0 728 0 49512 47776 51044 44236 6808 1412 0 0 0 254572 658592 768988 17460 751488 
509144 22372 45036 335876 0 263376 164284 0 0 8 0 46764 47668 51040 44236 6804 1412 0 0 0 254572 655448 768988 17460 751488 
509144 22672 45036 333592 0 262972 164288 0 0 1460 0 48648 47728 51232 44236 6996 1412 0 0 0 254572 657652 768988 17460 751488 
509144 18412 45036 337164 0 267384 164288 0 0 808 0 49488 47776 51032 44240 6792 1412 0 0 0 254572 658592 768988 17460 751488 
509144 23408 45036 334340 0 262136 164292 0 0 12 0 47068 47728 51248 44240 7008 1412 0 0 0 254572 655972 768988 17460 751488 
509144 23728 45036 334340 0 261812 164292 0 0 2400 0 46744 47500 51044 44236 6808 1412 0 0 0 254572 655444 768988 17460 751488 
509144 16932 45036 337592 0 268848 164300 0 0 384 0 50536 47844 51008 44236 6772 1448 0 0 0 254572 661548 768988 17460 751488 
509144 22200 45036 333516 0 263492 164304 0 0 604 0 49260 47728 51084 44236 6848 1412 0 0 0 254572 658164 768988 17460 751488 
509144 20588 45036 335996 0 265088 164304 0 0 4568 0 48376 47728 51140 44236 6904 1412 0 0 0 254572 657268 768988 17460 751488 
