Memory Changes in every five min. interval
MemTotal: MemFree: Buffers: Cached: SwapCached: Active: Inactive: SwapTotal: SwapFree: Dirty: Writeback: AnonPages: Mapped: Slab: SReclaimable: SUnreclaim: PageTables: NFS_Unstable: Bounce: WritebackTmp: CommitLimit: Committed_AS: VmallocTotal: VmallocUsed: VmallocChunk: 
509144 398384 1772 48732 0 62152 35812 0 0 12 0 47476 46588 4852 1412 3440 1424 0 0 0 254572 671468 768988 17492 751480 
509144 398548 1828 48836 0 62232 35656 0 0 4 0 47240 46568 4832 1412 3420 1384 0 0 0 254572 670788 768988 17492 751480 
509144 399712 1828 48840 0 61060 35660 0 0 0 0 46068 46524 4812 1416 3396 1276 0 0 0 254572 668592 768988 17492 751480 
509144 399712 1828 48840 0 61060 35660 0 0 0 0 46068 46524 4816 1416 3400 1276 0 0 0 254572 668592 768988 17492 751480 
509144 399712 1828 48840 0 61060 35660 0 0 0 0 46068 46524 4812 1416 3396 1276 0 0 0 254572 668592 768988 17492 751480 
509144 399712 1828 48840 0 61064 35660 0 0 0 0 46072 46524 4816 1416 3400 1276 0 0 0 254572 668592 768988 17492 751480 
509144 399704 1828 48840 0 61064 35660 0 0 0 0 46072 46524 4824 1416 3408 1276 0 0 0 254572 668592 768988 17492 751480 
509144 399704 1828 48840 0 61064 35660 0 0 0 0 46072 46524 4824 1416 3408 1276 0 0 0 254572 668592 768988 17492 751480 
509144 399704 1828 48840 0 61064 35660 0 0 0 0 46072 46524 4820 1416 3404 1276 0 0 0 254572 668592 768988 17492 751480 
509144 399704 1828 48844 0 61064 35664 0 0 0 0 46072 46524 4820 1416 3404 1276 0 0 0 254572 668592 768988 17492 751480 
509144 399704 1828 48844 0 61064 35664 0 0 0 0 46072 46524 4820 1416 3404 1276 0 0 0 254572 668592 768988 17492 751480 
509144 399704 1828 48844 0 61064 35664 0 0 0 0 46072 46524 4824 1416 3408 1276 0 0 0 254572 668592 768988 17492 751480 
509144 399704 1828 48844 0 61064 35664 0 0 0 0 46072 46524 4820 1416 3404 1276 0 0 0 254572 668592 768988 17492 751480 
509144 399704 1828 48844 0 61064 35664 0 0 0 0 46072 46524 4820 1416 3404 1276 0 0 0 254572 668592 768988 17492 751480 
