Memory Changes in every five min. interval
MemTotal: MemFree: Buffers: Cached: SwapCached: Active: Inactive: SwapTotal: SwapFree: Dirty: Writeback: AnonPages: Mapped: Slab: SReclaimable: SUnreclaim: PageTables: NFS_Unstable: Bounce: WritebackTmp: CommitLimit: Committed_AS: VmallocTotal: VmallocUsed: VmallocChunk: 
509144 4688 39448 403980 0 76632 411880 0 0 32 0 45100 44492 8112 4560 3552 1300 0 0 0 254572 635504 768988 17460 751488 
509144 4984 39448 403984 0 76096 411884 0 0 24 0 44564 44408 8108 4568 3540 1256 0 0 0 254572 634552 768988 17460 751488 
509144 5860 39448 403988 0 75456 411888 0 0 12 0 43924 44220 8116 4568 3548 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 403992 0 75456 411892 0 0 24 0 43924 44220 8104 4568 3536 1192 0 0 0 254572 633304 768988 17460 751488 
509144 6000 39448 403992 0 75456 411892 0 0 4 0 43924 44220 8104 4568 3536 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404000 0 75456 411900 0 0 24 0 43924 44220 8104 4568 3536 1192 0 0 0 254572 633304 768988 17460 751488 
509144 6000 39448 404000 0 75456 411900 0 0 4 0 43924 44220 8104 4568 3536 1192 0 0 0 254572 633304 768988 17460 751488 
509144 6000 39448 404004 0 75456 411904 0 0 8 0 43924 44220 8104 4568 3536 1192 0 0 0 254572 633304 768988 17460 751488 
509144 6000 39448 404004 0 75456 411904 0 0 8 0 43924 44220 8100 4568 3532 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404008 0 75456 411908 0 0 20 0 43924 44220 8108 4568 3540 1192 0 0 0 254572 633304 768988 17460 751488 
509144 6000 39448 404016 0 75456 411916 0 0 16 0 43924 44220 8112 4572 3540 1192 0 0 0 254572 633304 768988 17460 751488 
509144 6000 39448 404016 0 75456 411916 0 0 8 0 43924 44220 8112 4572 3540 1192 0 0 0 254572 633304 768988 17460 751488 
509144 6000 39448 404020 0 75456 411920 0 0 16 0 43924 44220 8112 4572 3540 1192 0 0 0 254572 633304 768988 17460 751488 
509144 6000 39448 404020 0 75456 411920 0 0 8 0 43924 44220 8108 4572 3536 1192 0 0 0 254572 633304 768988 17460 751488 
509144 6000 39448 404024 0 75456 411924 0 0 8 0 43924 44220 8108 4572 3536 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404032 0 75456 411932 0 0 36 0 43924 44220 8108 4572 3536 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404032 0 75456 411932 0 0 4 0 43924 44220 8112 4572 3540 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404040 0 75456 411940 0 0 8 0 43924 44220 8108 4572 3536 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404040 0 75456 411940 0 0 4 0 43924 44220 8112 4572 3540 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404044 0 75456 411944 0 0 8 0 43924 44220 8108 4572 3536 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404044 0 75456 411944 0 0 8 0 43924 44220 8108 4572 3536 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404052 0 75456 411952 0 0 20 0 43924 44220 8104 4572 3532 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404056 0 75456 411956 0 0 0 0 43924 44220 8108 4572 3536 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404056 0 75456 411956 0 0 8 0 43924 44220 8108 4572 3536 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404060 0 75456 411960 0 0 8 0 43924 44220 8108 4572 3536 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404060 0 75456 411960 0 0 8 0 43924 44220 8112 4572 3540 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404068 0 75456 411968 0 0 8 0 43924 44220 8104 4572 3532 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404068 0 75456 411968 0 0 8 0 43924 44220 8104 4572 3532 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404072 0 75456 411972 0 0 0 0 43924 44220 8104 4572 3532 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5860 39448 404076 0 75456 411976 0 0 4 12 43924 44220 8120 4572 3548 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404076 0 75456 411976 0 0 8 0 43924 44220 8108 4572 3536 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404084 0 75456 411984 0 0 8 0 43924 44220 8100 4572 3528 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404088 0 75456 411988 0 0 8 0 43924 44220 8108 4576 3532 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5860 39448 404092 0 75456 411992 0 0 8 0 43924 44220 8120 4576 3544 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404096 0 75456 411996 0 0 20 0 43924 44220 8108 4576 3532 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5852 39448 404096 0 75576 411996 0 0 4 0 44044 44392 8124 4576 3548 1212 0 0 0 254572 633660 768988 17460 751488 
509144 5876 39448 404104 0 75456 412004 0 0 8 0 43924 44220 8108 4576 3532 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404104 0 75456 412004 0 0 4 0 43924 44220 8108 4576 3532 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404108 0 75456 412008 0 0 8 0 43924 44220 8112 4576 3536 1192 0 0 0 254572 633304 768988 17460 751488 
509144 5876 39448 404108 0 75456 412008 0 0 0 0 43924 44220 8108 4576 3532 1192 0 0 0 254572 633304 768988 17460 751488 
